name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
labzero_lunch,https://github.com/labzero/lunch,Lunch voting app,73096,16,16,JavaScript,5,6457,307,-1,-1,-1
ChristianMurphy_postcss-combine-duplicated-selectors,https://github.com/ChristianMurphy/postcss-combine-duplicated-selectors,automatically keep css selectors unique.,1901,31,31,JavaScript,6,763,17,-1,-1,-1
dogpetkid_Stratego,https://github.com/dogpetkid/Stratego,,91,1,1,Python,0,514,4,-1,-1,-1
openstack_networking-odl,https://github.com/openstack/networking-odl,Neutron drivers for OpenDaylight.,35179,71,71,Python,64,18844,690,-1,-1,-1
vshepel16_surveyjs,https://github.com/vshepel16/surveyjs,,66089,0,0,JavaScript,0,3289,71,-1,-1,-1
meyer-lab_lineage-growth,https://github.com/meyer-lab/lineage-growth,Analyzing cell growth with lineage information.,5167,1,1,Python,0,1182,15,-1,-1,-1
mac-s-g_react-json-view,https://github.com/mac-s-g/react-json-view,JSON viewer for react,3259,917,917,JavaScript,151,718,40,-1,-1,-1
ICOnator_ICOnator-backend,https://github.com/ICOnator/ICOnator-backend,ICOnator backend applications and commons,1609,27,27,Java,1,555,15,-1,-1,-1
JrGoodle_clowder,https://github.com/JrGoodle/clowder,Utility for managing multiple git repositories,7781,7,7,Python,2,2051,9,-1,-1,-1
counterflow-ai_eui,https://github.com/counterflow-ai/eui,,133996,0,0,JavaScript,0,1186,64,-1,-1,-1
MD2Korg_CerebralCortex-DataAnalysis,https://github.com/MD2Korg/CerebralCortex-DataAnalysis,,13942,1,1,Python,11,1138,36,-1,-1,-1
davitmadoyan_guacamole-client,https://github.com/davitmadoyan/guacamole-client,,12427,0,0,Java,0,4861,46,-1,-1,-1
